IP,Hostname,City,Region,Country,Location,Organization,Postal,Timezone
88.33.44.20,host-88-33-44-20.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.10,cpc107269-cosh15-2-0-cust9.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.12,ip-109-44-21-12.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.21,host-88-33-44-21.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.11,cpc107269-cosh15-2-0-cust10.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.13,ip-109-44-21-13.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.22,host-88-33-44-22.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.12,cpc107269-cosh15-2-0-cust11.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.14,ip-109-44-21-14.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.23,host-88-33-44-23.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.13,cpc107269-cosh15-2-0-cust12.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.15,ip-109-44-21-15.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.24,host-88-33-44-24.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.14,cpc107269-cosh15-2-0-cust13.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.16,ip-109-44-21-16.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.25,host-88-33-44-25.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.15,cpc107269-cosh15-2-0-cust14.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.17,ip-109-44-21-17.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.26,host-88-33-44-26.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.16,cpc107269-cosh15-2-0-cust15.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.18,ip-109-44-21-18.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.27,host-88-33-44-27.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.17,cpc107269-cosh15-2-0-cust16.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.19,ip-109-44-21-19.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.28,host-88-33-44-28.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.18,cpc107269-cosh15-2-0-cust17.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.20,ip-109-44-21-20.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.29,host-88-33-44-29.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.19,cpc107269-cosh15-2-0-cust18.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.21,ip-109-44-21-21.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.30,host-88-33-44-30.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
